alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE
365126,95a6c0fd787a7f03473b58897e0d696d4ba27c61003f9277493d438798c7191a,3,12.0,342570.0,3
365163,7ad6b2889c6d0b906d73a5012f429a831f2d6f996bba264782d04c3ac6a11367,1,19.0,0.0,4
365166,252117094a387944f2d8aea76ca95fd927064bdaf72e1c7e21e636ca6f8ce8b7,1,19.0,789841.0,6
365167,0585831d57313ede3fa11841dc488df3d5080e7b03c49a9448f3a3d6b34fe6ca,1,17.0,2944611.0,6
365168,9b91812ca1771f5c7ead09f8be19c6a373f03be9a1fcebdf8ef3e113cd15e6c0,1,4.0,9419.0,4
365180,4178a6f364152e04f25d1f456c4441733d2bf11f088e48eb2b49c465094b9609,1,19.0,925465.0,4
365186,bd47c67a9d9cdd26007df624ff2f0860526e1e09d3a409dbe11aaab7ddbfbd19,1,19.0,48113.0,3
365187,605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,1,18.0,21189.0,3
365189,e8d5a2092c203446e10592fe7acbec03f0ca643536cafb98218d7ff6445848e2,1,13.0,91037.0,3
365191,1a38d11e93a25e855e46d313347577f823274e9de332ba13e650743f3ce15055,1,12.0,87060.0,3
365195,c62baab3b4829e0c15b13741548b58719a8c63b4b6a25b2213a688fe407cd91b,1,2.0,786.0,3
365197,d965728f86144f30286f2eb7bcfe51d5cb2bc9c228accbdbc858136d710676a3,1,17.0,784077.0,4
365199,3f2eaaf60d444a30ce5b1852930b53eecab5b7e22ba5231349e569863234c502,1,9.0,1633.0,2
365206,12c9e6d35500d2a96fc2b22a9da8e3deb6048de515a16e9187a67cdcf485350f,3,19.0,1553019.0,2
365207,ae53838cf3d7246ea10908c3cc66f91cd542ce382c3c903b94a19324f86e818d,1,13.0,288460.0,2
365208,d24d46c19002ab1f9a02801af5e4be6a154b3c5adc04172e372c16ca446d736b,1,17.0,34351.0,2
365244,83bd4ae219bffce01bb016ff7e739ff77d809f378a89fd14ee83895a145eb74c,1,18.0,300384.0,3
365246,a35ca0ad8421ca39eaf5cb188848f888fb2fe7dc9e1da741fec337562bfea88f,1,3.0,990906.0,4
365247,cece622381d76715c8bc9f4a7d60ee143c0df366d73e8873a17885dbd564df87,1,11.0,1142951.0,5
365249,0c679405605ca5288e1230489975e02bd175ae939974270061b6b44c9b176247,3,17.0,1720126.0,5
