alert_key,cust_id,risk_rank,occupation_code,total_asset,AGE
352249,82595ac69158ae08d34156784bdec0d9e2ca5b242b6d2a8542c040b98feb8bd1,1,19.0,1465816.0,7
352253,b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,1,2.0,98177.0,2
352254,e5b0002791c7852644a2730abeaa893cdf14a072ef78120275815edbd596cec0,1,19.0,2052922.0,7
352280,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3,15.0,201906.0,5
352282,0340e7611f0d82c3cb87e6194fa14bb2ccf8afbf1b341860b7e09990369f6466,1,12.0,7450.0,5
352291,83440058abcf5206ec03fd81ee3c0c943a33d1ab455a4631d1c52c80b2b3ad1d,1,17.0,182242.0,5
352298,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3,12.0,2422.0,4
352301,2bd91e5810e781477888dc1d478fe7eaed138acc84bd5e693ad0c5f5be4c6e4b,1,19.0,2536600.0,4
352302,9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,1,17.0,173255.0,4
352305,870252ba9d2d6cb4433ce4718b80b2e69cf73adcc7e92657e8383e2f281cc13c,3,12.0,876408.0,3
352307,35efdb7f15d0e61d8eabda0871c91edd5602b7620852e286646589bf05fe08de,1,12.0,552065.0,3
352309,8a8a3d19fbce6501b156018ffcf902470d07070bc55f69a3bd0c4c76be6b670a,1,9.0,4826766.0,3
352312,a6fc8326d711987f071572d976c0bc8b591eecf1c4e759242d05f5a130b5fd75,1,19.0,30480.0,4
352316,7dc5256ef411c745dc3064da2f231c104ca270f564d3d0d057943f0cdd62ab70,1,9.0,332834.0,2
352320,3513b38b20fd02573807e4a414ed7341e3bd0844fc525d5294adae63e5c61af2,3,19.0,567379.0,3
352329,b85d0a2e03dd24bee012fee7df3e88476b6ed3aadfde1a73618551723813d18a,1,17.0,20632.0,2
352330,96d70b798f211393cfbcb83a8acd19f3e8c9c5c205960a3a00bfe685ed6e7ab2,1,19.0,143930.0,4
352331,4d518f1d8149b57c5d56855d1bac3c0462f4f090a7b4b6fb7951afdf5816c921,1,5.0,729497.0,2
352332,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1,12.0,296610.0,3
352337,ff483c74ef2977bfcf04be0a79363af72d1812aac9ce1fcdf671b4433218f6ad,2,17.0,41066.0,3
352342,7629f010080267f680a4ca9c6cac71c4d4d86933dcc7ed2f3625fde2c161e9de,1,17.0,506366.0,3
352343,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1,12.0,106656.0,3
352344,33ff49ea8a07c6d1b7cc203dcc3638ebde62dfb960a1697c8e5a55dffefc1cb6,1,9.0,367478.0,3
352465,10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,3,15.0,226357.0,5
352470,d253f77ce816406296362e15aa64888080acc551e9c596098d9c78ffe52956a9,3,19.0,1889815.0,4
352472,26fc4ef92d434a5ff617236ded40fa5725432dc446efcc7915dd274606d2d856,1,19.0,18073.0,4
352476,d6d7cc8f5036ae0121dbeacf67b216f757b2ab86fb93184eec6f8261c092270a,1,9.0,4197550.0,4
352480,ac8a804f8a4be16875f59b941a5cca38a6a92313538c82898fab347db054e286,1,17.0,7658.0,4
352484,d1f77182e056ec6c8f8694cfd71da81f378aa50d1976c0c15552665df04af222,1,13.0,0.0,3
352487,605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,1,18.0,58111.0,3
352488,c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,3,19.0,1415448.0,3
352492,a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,3,1.0,2169802.0,2
352493,3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,1,12.0,324044.0,3
352494,2dc131115c513102b4c5c2facb90e9e21bf6e1bb946cfc0f8e7eca0573654742,1,17.0,3029925.0,4
352495,102e3ba50d2b335b71e881df9ef5fea70124a240e8b15c5a4c5c3eabac4605d1,3,14.0,927014.0,4
352497,54120a833a4e411f5e15fd3fbdf32e9cd66e000cd6f5ba24bc910ce5e3d46275,1,18.0,718481.0,3
352501,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1,3.0,96316.0,3
352503,158f652568e23e7e4a8e1c7cbf8c8987d53f23049a1e076f0dc30a993e979382,1,13.0,1666968.0,3
352507,9902a46bcfe42b58e06b209a02d1131e47966a60187f787892eaf38116f70c8b,1,18.0,161909.0,3
352508,63e2e1fa88378fa90d85547fe108eeee5045ba3252911f145a351b7b7661e3ea,1,12.0,59830.0,3
352520,d11b9cd483cf1fe9d2c26de44af17d86707e1b9159c2b2a5235ef01aa8aa9376,1,5.0,6166.0,2
352522,bfdb5c0d7da77d3c0d065559d0af7aada44bf33a176681fc19a12fbaa3507f0b,1,12.0,41872.0,2
352557,405115a569295213328a887110c5c5b705069402361a3057ba68f7159c097861,3,19.0,187325.0,6
352558,609ca842d3c873f3606404f8741eec8d7fbdfeef00e80bd64e92f85132352eef,3,19.0,1302688.0,6
352651,9586b80d3ad1d74c0a1efe792cae2ecd073243fb01ed33fa1f70867748596bd5,3,3.0,262604.0,6
352654,8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,1,18.0,171726.0,6
352658,2cbae2a984f9c7a8749097027ac7a00052bfee7536a287071fb3ea50b351f323,3,19.0,344441.0,5
352660,da500130fbe4a29397af9a08e1dfdc2b646309a669d1b2796b2f28e5931b38d9,1,17.0,158772.0,5
352670,05d16120e622640438421a39564db6eedc105f0e343435ac445f72ddfb6c386b,1,17.0,2384805.0,5
352680,1b455871464af23a6e0d85f1da41adbba10f5913cdda5572ca4af9a43ceb4d5a,1,19.0,0.0,2
352683,40fa92acb89d1ebb319f0f200d31a5fcbdfcbd8ad432d732a880545a69f2c5e8,3,17.0,2112.0,2
352684,85560737ffda7254ba16b71e4c5b519b85a51942ab02c69ca358f1d4d8f83acc,3,17.0,461707.0,3
352685,4dfeca8a959845f1ed0a40340b8c53525bb477c5c37a7068d6383515d211c881,1,10.0,409561.0,4
352686,f284d9a1f047636cf371af0d1e2cc1a8583c413aca0e347538758b914e00eeec,1,13.0,131985.0,4
352691,5c8203758d604e065e40f5192d41077acdb92b1121bd5358436411be10072351,3,12.0,848586.0,2
352692,1efec00739f069a9dd3bb1ca0ae9e1262e62548f190b20babf27016811ae4e04,1,13.0,2098.0,2
352693,6b5ae2c6990dfa9281ea5b8f437ed6bc868cc5cac182fb33c467e615dffe6926,1,12.0,1705196.0,3
352696,c6def618ad861703c025be4f41bdf7569310228ae93aeffc73088c520c79558d,1,2.0,444392.0,3
352699,af44e752f63f8e447bc6fdac56d364a2f22eabbdbbefc4e3573905618f811eb8,1,15.0,242106.0,4
352700,823fc5ce48cd827628ce0d1c574e6c3582cb772cf6173a9384df22d56bb72f0c,1,17.0,114439.0,2
352704,d416d6741710614ecf374202e7a0656dff8625efe57d6b2727d001b4e29ba532,1,12.0,1402359.0,2
352705,b600c0720096c241f5aec16b096c6a353492eee8a5855aa7f79d81390811d914,1,17.0,12207.0,2
