alert_key,date,set_name,day_of_year,month_of_year
171189,0,train,0,4
171202,0,train,0,4
171599,0,train,0,4
171737,0,train,0,4
171142,0,train,0,4
171178,0,train,0,4
171377,0,train,0,4
171207,0,train,0,4
171197,0,train,0,4
171180,0,train,0,4
171369,0,train,0,4
171751,0,train,0,4
171586,0,train,0,4
171584,0,train,0,4
171616,0,train,0,4
171375,0,train,0,4
171612,0,train,0,4
171593,0,train,0,4
171451,0,train,0,4
171597,0,train,0,4
171782,0,train,0,4
171738,0,train,0,4
171448,0,train,0,4
171787,0,train,0,4
171790,0,train,0,4
171503,0,train,0,4
171495,0,train,0,4
171606,0,train,0,4
171387,0,train,0,4
171501,0,train,0,4
171494,0,train,0,4
171602,0,train,0,4
171209,0,train,0,4
171704,0,train,0,4
171587,0,train,0,4
171363,0,train,0,4
171605,0,train,0,4
171600,0,train,0,4
171783,0,train,0,4
171152,0,train,0,4
171487,0,train,0,4
171378,0,train,0,4
171703,0,train,0,4
171595,0,train,0,4
171770,0,train,0,4
171364,0,train,0,4
171192,0,train,0,4
171764,0,train,0,4
171320,0,train,0,4
171500,0,train,0,4
171201,0,train,0,4
171389,0,train,0,4
171379,0,train,0,4
171455,0,train,0,4
171371,0,train,0,4
171739,0,train,0,4
171447,0,train,0,4
171177,0,train,0,4
171368,0,train,0,4
171741,0,train,0,4
171181,0,train,0,4
171504,0,train,0,4
171842,0,train,0,4
171479,0,train,0,4
171496,0,train,0,4
171702,0,train,0,4
171446,0,train,0,4
171765,0,train,0,4
171598,0,train,0,4
171592,0,train,0,4
171753,0,train,0,4
171755,0,train,0,4
171760,0,train,0,4
171589,0,train,0,4
171367,0,train,0,4
171361,0,train,0,4
171777,0,train,0,4
171585,0,train,0,4
171200,0,train,0,4
171385,0,train,0,4
171324,0,train,0,4
171362,0,train,0,4
171769,0,train,0,4
171610,0,train,0,4
171603,0,train,0,4
171759,0,train,0,4
171767,0,train,0,4
171357,0,train,0,4
172209,5,train,5,4
172055,5,train,5,4
172021,5,train,5,4
172429,5,train,5,4
172234,5,train,5,4
172496,5,train,5,4
172218,5,train,5,4
172178,5,train,5,4
172642,5,train,5,4
172237,5,train,5,4
172249,5,train,5,4
172261,5,train,5,4
172253,5,train,5,4
172379,5,train,5,4
172543,5,train,5,4
172033,5,train,5,4
172433,5,train,5,4
172500,5,train,5,4
172516,5,train,5,4
172644,5,train,5,4
172647,5,train,5,4
172020,5,train,5,4
171994,5,train,5,4
172202,5,train,5,4
172474,5,train,5,4
172551,5,train,5,4
172457,5,train,5,4
172488,5,train,5,4
171960,5,train,5,4
171965,5,train,5,4
172657,5,train,5,4
172032,5,train,5,4
172558,5,train,5,4
172220,5,train,5,4
172494,5,train,5,4
172649,5,train,5,4
172239,5,train,5,4
172550,5,train,5,4
172014,5,train,5,4
172539,5,train,5,4
172039,5,train,5,4
172138,5,train,5,4
172049,5,train,5,4
172443,5,train,5,4
172019,5,train,5,4
172467,5,train,5,4
172481,5,train,5,4
172674,5,train,5,4
172480,5,train,5,4
172542,5,train,5,4
172664,5,train,5,4
